country,product,value,rca,eci,coi,pci,cog,density,Dpt_name,rca2,rpca
Boyaca,4782,1927.2609,0,-0.313516702997745,-0.0268807065935751,-0.901524708274534,-1.18499591486084,0.239071045632704,Boyaca,0.33009635625774125,0.25607982708181076
Boyaca,4789,5619.37495,0,-0.313516702997745,-0.0268807065935751,-0.886390573969766,-1.09543596540732,0.245513320441022,Boyaca,0.44003822383526425,0.3413697550212779
Boyaca,4791,4045.61041,0,-0.313516702997745,-0.0268807065935751,1.46190984125319,2.27436693006334,0.126479547494825,Boyaca,0.19181446622049886,0.1488044760578397
Boyaca,4792,14327.38367,0,-0.313516702997745,-0.0268807065935751,-1.23077260704526,-1.71023577511636,0.280438454548439,Boyaca,0.6106500912721657,0.47372582828018117
Boyaca,4799,3590.90063,0,-0.313516702997745,-0.0268807065935751,-0.235307536895124,-0.721123343910662,0.201134912346317,Boyaca,0.1525956132191759,0.11837955041254121
Boyaca,4921,102663.7373,0,-0.313516702997745,-0.0268807065935751,-1.38660499298578,-1.83943755345952,0.262665751511735,Boyaca,0.6583847824632969,0.5107571109171939
Boyaca,4922,55.60606,0,-0.313516702997745,-0.0268807065935751,-0.719979256023977,-0.853968137636976,0.260090447822933,Boyaca,0.03841674302630154,0.029802670416453438
Boyaca,4923,94146.59556,1,-0.313516702997745,-0.0268807065935751,-0.576121581436156,-0.250523896488599,0.281231052251262,Boyaca,1.5228473300965604,1.1813837795247677
Boyaca,5012,119.3208,0,-0.313516702997745,-0.0268807065935751,-0.402910760940065,0.160877216392809,0.144441177084857,Boyaca,0.30744906882057566,0.238510673891119
Boyaca,5112,139.9944,0,-0.313516702997745,-0.0268807065935751,0.911281023445833,2.14591272727516,0.0829298546628839,Boyaca,0.3742649411900535,0.2903446209139588
Boyaca,5122,77.70779,0,-0.313516702997745,-0.0268807065935751,0.382658829852072,0.517911348913149,0.144933117086548,Boyaca,0.39875499021533023,0.30934333871477326
Boyaca,5210,276.69591,0,-0.313516702997745,-0.0268807065935751,-0.320353884615077,0.469963589256232,0.174342782732759,Boyaca,0.08751101540157784,0.06788867937182565
Boyaca,5221,1925.64596,0,-0.313516702997745,-0.0268807065935751,-0.216624007016842,-0.38646421567216,0.204179121971366,Boyaca,0.20146285635323705,0.15628943622165398
Boyaca,5223,299.45225,0,-0.313516702997745,-0.0268807065935751,-0.587000058841709,-0.0626879915762401,0.218366977330525,Boyaca,0.0853652268349383,0.06622403462588328
Boyaca,5224,27534.66911,0,-0.313516702997745,-0.0268807065935751,-1.31471494525724,-1.76899070318611,0.273025100991294,Boyaca,0.8354266907337372,0.6481014359806575
Boyaca,5229,918.81458,0,-0.313516702997745,-0.0268807065935751,0.684635565615398,1.3114311460294,0.144392564691903,Boyaca,0.06697974356378254,0.05196107386415666
Boyaca,5310,260.83193,0,-0.313516702997745,-0.0268807065935751,-0.231827122448782,0.277008716898005,0.177073101974189,Boyaca,0.13343605462165772,0.10351608294431704
Boyaca,5320,28673.37945,0,-0.313516702997745,-0.0268807065935751,0.457071760053069,0.525129784570979,0.163493266116943,Boyaca,0.6567481852348289,0.5094874830424124
Boyaca,5511,34941.76525,1,-0.313516702997745,-0.0268807065935751,-1.08737441539881,-0.250523896488599,0.311751770060694,Boyaca,1.1879952259483622,0.9216145718292483
Boyaca,5513,51.26982,0,-0.313516702997745,-0.0268807065935751,-0.354613586122162,-0.336072532397616,0.169403669894879,Boyaca,0.06612448534401902,0.05129758766421709
Boyaca,5514,88.08673,0,-0.313516702997745,-0.0268807065935751,-0.44006257591844,-0.3886868177668,0.166105696204116,Boyaca,0.10932636526697334,0.0848124378906799
