state,industry,people,wages,education
Antioquia,7010,51409.840299999996,162618489082,489803.8888
Antioquia,7020,67765.5048,313213846353.5008,700032.519
Antioquia,7111,64874.0221,241317355724,617352.2086
Antioquia,7112,89593.1979,310200066467.9,808271.1742
Antioquia,7120,18831.4417,32479149860,157110.1109
Antioquia,7210,10283.809,51888553990,113386.86480000001
Antioquia,7220,1584.8692,3194210100,14981.804500000002
Antioquia,7310,156747.34784,617032038533.242,1295893.4305
Antioquia,7320,7431.9268,10204391802.4,74560.4532
Antioquia,7410,65576.3021,119142546774.6,538018.8211000001
Antioquia,7420,21792.5757,48690713660,173043.6001
Antioquia,7490,68557.62786,223600000260.2,674486.34878
Antioquia,7500,36580.6537,45075364244,278524.1331
Antioquia,7710,7100.8932,16256073595,64102.5614
Antioquia,7721,4894.882,3426417400,19579.528
Antioquia,7729,18140.67032,19682911500,117681.8452
Antioquia,7730,30802.34581,37605139173,196793.55896
Antioquia,7810,57424.8238,113488946255,508573.7417
Antioquia,7820,56172.5739,117255818922.4584,464506.4498
Antioquia,7830,2199.651,2199651000,23153.613
Antioquia,7911,34756.198,69387884470,290148.0763
Antioquia,7912,5480.176799999999,69357278900,50372.329
Antioquia,7990,3525.7363,3725388345,19681.7918
Antioquia,8010,280186.70291,391826895602.3858,1642666.2464
Antioquia,8020,37113.431599999996,37934214230,255805.92369999998
Antioquia,8121,446925.12575,326893522204.1674,1976913.70355
Antioquia,8129,21991.3297,24526818076.8578,110996.8534
Antioquia,8130,67132.3416,67779634494,277486.40140000003
Antioquia,8211,8544.558,11654635300,51043.096
Antioquia,8219,15437.8762,27138036704.8,123315.9998
Antioquia,8220,315635.06791,452371880635.1222,2532065.0071
Antioquia,8230,52494.9396,89484738941,429702.5354
Antioquia,8291,15486.3863,17118275039.017199,127373.7402
Antioquia,8292,19350.8096,13467036306.9792,96459.7639
Antioquia,8299,30727.13186,51912190375.60472,226000.8807
Antioquia,8411,3909.0651,19654042114,35298.7598
Antioquia,8412,290219.8557,908043872533.545,2615080.7698
Antioquia,8413,95050.3375,284703480448.2934,853860.1984
Antioquia,8414,19828.8555,59602985002,155486.1108
Antioquia,8415,15748.3351,99424983260,150845.6626
Antioquia,8422,16173.3551,45179884210,138784.3108
Antioquia,8423,87260.0449,197001633628.5867,589778.129
Antioquia,8424,44568.69504,267439699748.53903,404228.21084
Antioquia,8430,13203.1859,15656167085.6,106275.1727
Antioquia,8511,52651.659,86885306781.304,450019.5905
Antioquia,8512,25407.75548,38743287445.2,221027.7584
Antioquia,8513,52525.95025,104663502762.86,488132.195
Antioquia,8521,29712.9253,74815085901,300249.697
Antioquia,8522,1281.153,1281153000,6405.765
Antioquia,8523,3203.4695,7588032970,30249.4603
Antioquia,8530,415887.50796,1581952588970.2239,3946354.71232
Antioquia,8541,7951.053,22795332919.9572,79581.5275
Antioquia,8542,450.5146,540617520,5406.1752
Antioquia,8543,3573.0919000000004,17946906627.603,32300.844500000003
Antioquia,8544,263124.19812,928248052234.0624,2718215.469
Antioquia,8551,43252.4119,133343899778.9308,410604.6755
Antioquia,8552,27529.643500000002,43861949753,205080.5182
Antioquia,8553,21044.4049,47820114120,194873.3748
Antioquia,8559,117707.272,189746654131,1037267.4279
Antioquia,8560,8529.8148,9377941900,74475.5042
Antioquia,8610,376098.73491,1107168145821.306,3212384.0781
Antioquia,8621,338774.63735,1146336776897.8794,3023676.25805
Antioquia,8622,103350.40144,250469210184.8168,931851.84114
