fecha,clae3,total_fob
2007-05-01,61,276281504
2007-05-01,62,27727352
2007-05-01,72,215188160
2007-05-01,81,1938295
2007-05-01,89,8444510
2007-05-01,91,3815603
2007-05-01,99,87048
2007-05-01,101,103981680
2007-05-01,102,37024744
2007-05-01,103,70206448
2007-05-01,104,1412053504
2007-05-01,105,31092438
2007-05-01,106,37769800
2007-05-01,107,83850080
2007-05-01,108,6261699
2007-05-01,109,1106602
2007-05-01,110,54834724
2007-05-01,120,20403234
2007-05-01,131,34802720
2007-05-01,139,8802525
2007-05-01,141,4062455
2007-05-01,142,274794
2007-05-01,143,437444
2007-05-01,151,83069376
2007-05-01,152,1857945
2007-05-01,161,2997816
2007-05-01,162,9345580
2007-05-01,170,51849668
2007-05-01,181,3857515
2007-05-01,182,-99
2007-05-01,191,319000
2007-05-01,192,146862992
2007-05-01,201,99493936
2007-05-01,202,91569232
2007-05-01,203,-99
2007-05-01,210,56260524
2007-05-01,221,19541880
2007-05-01,222,35910340
2007-05-01,231,3143777
2007-05-01,239,13242839
2007-05-01,241,201571248
2007-05-01,242,50154720
2007-05-01,243,8107999
2007-05-01,251,3328681
2007-05-01,252,931136
2007-05-01,259,18761684
2007-05-01,261,65362
2007-05-01,262,2481551
2007-05-01,263,349821
2007-05-01,264,913736
2007-05-01,265,2768416
2007-05-01,266,3152256
2007-05-01,267,328467
2007-05-01,271,6462779
2007-05-01,272,863657
2007-05-01,273,6969539
2007-05-01,274,818294
2007-05-01,275,4745471
2007-05-01,279,3252362
2007-05-01,281,29094838
2007-05-01,282,28527868
2007-05-01,291,415791456
2007-05-01,292,1023596
2007-05-01,293,66399816
2007-05-01,301,3486872
2007-05-01,302,-99
2007-05-01,303,-99
2007-05-01,309,124118
2007-05-01,310,3907564
2007-05-01,321,255334
2007-05-01,322,247800
2007-05-01,323,219685
2007-05-01,324,55851
2007-05-01,329,7266033
2007-05-01,331,1560416
2007-05-01,332,1145948
2007-05-01,351,6400006
2007-05-01,370,-99
2007-05-01,381,-99
2007-05-01,382,1247673
2007-05-01,410,339312
2007-05-01,421,345137
2007-05-01,422,2053318
2007-05-01,429,16930
2007-05-01,432,364280
2007-05-01,439,144044
2007-05-01,451,155747
2007-05-01,452,-99
2007-05-01,453,4920665
2007-05-01,454,-99
2007-05-01,461,57520928
2007-05-01,462,389342336
2007-05-01,463,70641856
2007-05-01,464,21061992
2007-05-01,465,4640421
2007-05-01,466,14126049
2007-05-01,469,22580222
2007-05-01,471,5713351
2007-05-01,472,282550
2007-05-01,473,-99
2007-05-01,474,45341
2007-05-01,475,896225
2007-05-01,476,435971
2007-05-01,477,2883027
2007-05-01,479,29459
2007-05-01,492,1523751
2007-05-01,493,-99
2007-05-01,501,659165
2007-05-01,511,860159
2007-05-01,512,-99
2007-05-01,521,-99
2007-05-01,522,6465966
2007-05-01,523,2930685
2007-05-01,524,510317
2007-05-01,551,-99
2007-05-01,561,130494
2007-05-01,581,2114798
2007-05-01,591,2044926
2007-05-01,592,-99
2007-05-01,602,466717
2007-05-01,612,-99
2007-05-01,613,-99
2007-05-01,619,-99
2007-05-01,620,1232246
2007-05-01,631,-99
2007-05-01,641,-99
2007-05-01,649,177294
2007-05-01,662,-99
2007-05-01,681,9310236
2007-05-01,682,-99
2007-05-01,691,-99
2007-05-01,692,-99
2007-05-01,702,2843372
2007-05-01,711,915579
2007-05-01,712,7378
2007-05-01,721,783105
2007-05-01,731,-99
2007-05-01,741,41297
2007-05-01,749,121859
2007-05-01,771,85990
2007-05-01,773,3376235
2007-05-01,774,-99
2007-05-01,791,17388
2007-05-01,812,-99
2007-05-01,821,187033
2007-05-01,822,27164
2007-05-01,823,-99
2007-05-01,829,9960109
2007-05-01,853,-99
2007-05-01,854,-99
2007-05-01,863,-99
2007-05-01,869,-99
2007-05-01,900,30243
2007-05-01,910,-99
2007-05-01,920,-99
2007-05-01,939,57516
2007-05-01,941,-99
2007-05-01,949,687565
2007-05-01,951,37877
2007-05-01,960,2169731
2007-05-01,999,1446736
2007-06-01,11,20539024
2007-06-01,12,31566420
2007-06-01,13,1581354
2007-06-01,14,10086233
2007-06-01,16,630410
2007-06-01,17,-99
2007-06-01,21,-99
2007-06-01,22,859134
2007-06-01,24,-99
2007-06-01,31,56827612
2007-06-01,32,-99
2007-06-01,51,-99
2007-06-01,61,214426848
2007-06-01,62,19217532
2007-06-01,72,317248416
2007-06-01,81,1798256
2007-06-01,89,6243490
2007-06-01,91,5284887
2007-06-01,99,69714
2007-06-01,101,121332224
2007-06-01,102,35670132
2007-06-01,103,71789200
2007-06-01,104,1295635456
2007-06-01,105,28052624
2007-06-01,106,28656892
2007-06-01,107,76154376
2007-06-01,108,3674361
2007-06-01,109,1787819
2007-06-01,110,45687808
2007-06-01,120,30117748
2007-06-01,131,26393374
2007-06-01,139,8603974
2007-06-01,141,3282105
2007-06-01,142,137793
2007-06-01,143,567778
2007-06-01,151,85125608
2007-06-01,152,1091613
2007-06-01,161,2504478
2007-06-01,162,8722447
2007-06-01,170,59138256
2007-06-01,181,5047691
2007-06-01,182,-99
2007-06-01,191,-99
2007-06-01,192,114277648
2007-06-01,201,88858304
2007-06-01,202,87727600
2007-06-01,203,-99
2007-06-01,210,54334728
2007-06-01,221,19931812
2007-06-01,222,33538894
2007-06-01,231,2989510
2007-06-01,239,10180454
2007-06-01,241,174439600
2007-06-01,242,37733848
2007-06-01,243,6777732
2007-06-01,251,2852350
2007-06-01,252,1367724
2007-06-01,259,23228392
