fecha,clae3,empresas
2007-05-01,422,7
2007-05-01,429,3
2007-05-01,432,11
2007-05-01,439,4
2007-05-01,451,4
2007-05-01,452,-99
2007-05-01,453,41
2007-05-01,454,-99
2007-05-01,461,58
2007-05-01,462,69
2007-05-01,463,184
2007-05-01,464,210
2007-05-01,465,127
2007-05-01,466,88
2007-05-01,469,119
2007-05-01,471,12
2007-05-01,472,4
2007-05-01,473,-99
2007-05-01,474,3
2007-05-01,475,18
2007-05-01,476,13
2007-05-01,477,92
2007-05-01,479,4
2007-05-01,492,21
2007-05-01,493,-99
2007-05-01,501,4
2007-05-01,511,3
2007-05-01,512,-99
2007-05-01,521,-99
2007-05-01,522,18
2007-05-01,523,67
2007-05-01,524,11
2007-05-01,551,-99
2007-05-01,561,4
2007-05-01,581,78
2007-05-01,591,19
2007-05-01,592,-99
2007-05-01,602,5
2007-05-01,612,-99
2007-05-01,613,-99
2007-05-01,619,-99
2007-05-01,620,21
2007-05-01,631,-99
2007-05-01,641,-99
2007-05-01,649,3
2007-05-01,662,-99
2007-05-01,681,44
2007-05-01,682,-99
2007-05-01,691,-99
2007-05-01,692,-99
2007-05-01,702,45
2007-05-01,711,22
2007-05-01,712,3
2007-05-01,721,8
2007-05-01,731,-99
2007-05-01,741,3
2007-05-01,749,6
2007-05-01,771,3
2007-05-01,773,14
2007-05-01,774,-99
2007-05-01,791,3
2007-05-01,812,-99
2007-05-01,821,3
2007-05-01,822,3
2007-05-01,823,-99
2007-05-01,829,31
2007-05-01,853,-99
2007-05-01,854,-99
2007-05-01,863,-99
2007-05-01,869,-99
2007-05-01,900,5
2007-05-01,910,-99
2007-05-01,920,-99
2007-05-01,939,4
2007-05-01,941,-99
2007-05-01,949,9
2007-05-01,951,3
2007-05-01,960,19
2007-05-01,999,31
2007-06-01,11,92
2007-06-01,12,94
2007-06-01,13,19
2007-06-01,14,42
2007-06-01,16,10
2007-06-01,17,-99
2007-06-01,21,-99
2007-06-01,22,11
2007-06-01,24,-99
2007-06-01,31,68
2007-06-01,32,-99
2007-06-01,51,-99
2007-06-01,61,12
2007-06-01,62,3
2007-06-01,72,7
2007-06-01,81,19
2007-06-01,89,21
2007-06-01,91,23
2007-06-01,99,3
2007-06-01,101,107
2007-06-01,102,61
2007-06-01,103,109
2007-06-01,104,38
2007-06-01,105,25
2007-06-01,106,58
2007-06-01,107,178
2007-06-01,108,18
2007-06-01,109,6
2007-06-01,110,145
2007-06-01,120,11
2007-06-01,131,66
2007-06-01,139,86
2007-06-01,141,89
2007-06-01,142,6
2007-06-01,143,19
2007-06-01,151,73
2007-06-01,152,42
2007-06-01,161,43
2007-06-01,162,36
2007-06-01,170,92
2007-06-01,181,44
2007-06-01,182,-99
2007-06-01,191,-99
2007-06-01,192,15
2007-06-01,201,69
2007-06-01,202,247
2007-06-01,203,-99
2007-06-01,210,133
2007-06-01,221,55
